period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades,win_rate,profit_factor,calmar,static_return_pct,static_max_dd_pct,outperformance
2020_2021_Bull,365,-1.2,3.0,356.68374522932214,-31.620077760975988,3,66.66666666666666,999.0,11.280293107612923,1100.7864929287407,-51.86169126186414,-744.1027476994186
2020_2021_Bull,365,-1.2,3.5,417.23032760223805,-31.620077760975988,3,66.66666666666666,999.0,13.19510757551533,1100.7864929287407,-51.86169126186414,-683.5561653265027
2020_2021_Bull,365,-1.5,1.5,157.98101289820784,-17.32345391181167,2,100.0,999.0,9.119487008909434,1100.7864929287407,-51.86169126186414,-942.8054800305329
2020_2021_Bull,365,-1.5,2.0,174.6892145458418,-17.32345391181167,2,100.0,999.0,10.08397144328899,1100.7864929287407,-51.86169126186414,-926.0972783828989
2020_2021_Bull,365,-1.5,2.5,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-1.5,3.0,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-1.5,3.5,254.98206612185612,-17.32345391181167,2,100.0,999.0,14.718893092560569,1100.7864929287407,-51.86169126186414,-845.8044268068845
2020_2021_Bull,365,-1.8,1.5,157.98101289820784,-17.32345391181167,2,100.0,999.0,9.119487008909434,1100.7864929287407,-51.86169126186414,-942.8054800305329
2020_2021_Bull,365,-1.8,2.0,174.6892145458418,-17.32345391181167,2,100.0,999.0,10.08397144328899,1100.7864929287407,-51.86169126186414,-926.0972783828989
2020_2021_Bull,365,-1.8,2.5,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-1.8,3.0,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-1.8,3.5,254.98206612185612,-17.32345391181167,2,100.0,999.0,14.718893092560569,1100.7864929287407,-51.86169126186414,-845.8044268068845
2020_2021_Bull,365,-2.0,1.5,157.98101289820784,-17.32345391181167,2,100.0,999.0,9.119487008909434,1100.7864929287407,-51.86169126186414,-942.8054800305329
2020_2021_Bull,365,-2.0,2.0,174.6892145458418,-17.32345391181167,2,100.0,999.0,10.08397144328899,1100.7864929287407,-51.86169126186414,-926.0972783828989
2020_2021_Bull,365,-2.0,2.5,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-2.0,3.0,213.42813983336634,-17.32345391181167,2,100.0,999.0,12.320184007176792,1100.7864929287407,-51.86169126186414,-887.3583530953744
2020_2021_Bull,365,-2.0,3.5,254.98206612185612,-17.32345391181167,2,100.0,999.0,14.718893092560569,1100.7864929287407,-51.86169126186414,-845.8044268068845
2022_Bear,365,-1.0,1.5,-65.29963898562102,-66.89381539248927,1,0.0,0.0,-0.9761685531388116,-65.04927734915155,-66.739616089799,-0.25036163646946363
2022_Bear,365,-1.0,2.0,-65.29963898562102,-66.89381539248927,1,0.0,0.0,-0.9761685531388116,-65.04927734915155,-66.739616089799,-0.25036163646946363
2022_Bear,365,-1.0,2.5,-65.29963898562102,-66.89381539248927,1,0.0,0.0,-0.9761685531388116,-65.04927734915155,-66.739616089799,-0.25036163646946363
2022_Bear,365,-1.0,3.0,-65.29963898562102,-66.89381539248927,1,0.0,0.0,-0.9761685531388116,-65.04927734915155,-66.739616089799,-0.25036163646946363
2022_Bear,365,-1.0,3.5,-65.29963898562102,-66.89381539248927,1,0.0,0.0,-0.9761685531388116,-65.04927734915155,-66.739616089799,-0.25036163646946363
2022_Bear,365,-1.2,1.5,-60.18207089261659,-66.73961608979899,1,0.0,0.0,-0.9017443374508008,-65.04927734915155,-66.739616089799,4.867206456534959
2022_Bear,365,-1.2,2.0,-60.18207089261659,-66.73961608979899,1,0.0,0.0,-0.9017443374508008,-65.04927734915155,-66.739616089799,4.867206456534959
2022_Bear,365,-1.2,2.5,-60.18207089261659,-66.73961608979899,1,0.0,0.0,-0.9017443374508008,-65.04927734915155,-66.739616089799,4.867206456534959
2022_Bear,365,-1.2,3.0,-60.18207089261659,-66.73961608979899,1,0.0,0.0,-0.9017443374508008,-65.04927734915155,-66.739616089799,4.867206456534959
2022_Bear,365,-1.2,3.5,-60.18207089261659,-66.73961608979899,1,0.0,0.0,-0.9017443374508008,-65.04927734915155,-66.739616089799,4.867206456534959
2022_Bear,365,-1.5,1.5,-45.38230948347219,-50.34244473546355,1,0.0,0.0,-0.9014721021584157,-65.04927734915155,-66.739616089799,19.66696786567936
2022_Bear,365,-1.5,2.0,-45.38230948347219,-50.34244473546355,1,0.0,0.0,-0.9014721021584157,-65.04927734915155,-66.739616089799,19.66696786567936
2022_Bear,365,-1.5,2.5,-45.38230948347219,-50.34244473546355,1,0.0,0.0,-0.9014721021584157,-65.04927734915155,-66.739616089799,19.66696786567936
2022_Bear,365,-1.5,3.0,-45.38230948347219,-50.34244473546355,1,0.0,0.0,-0.9014721021584157,-65.04927734915155,-66.739616089799,19.66696786567936
2022_Bear,365,-1.5,3.5,-45.38230948347219,-50.34244473546355,1,0.0,0.0,-0.9014721021584157,-65.04927734915155,-66.739616089799,19.66696786567936
2022_Bear,365,-1.8,1.5,-42.81416638104073,-50.34244473546355,1,0.0,0.0,-0.8504586260364992,-65.04927734915155,-66.739616089799,22.235110968110824
2022_Bear,365,-1.8,2.0,-42.81416638104073,-50.34244473546355,1,0.0,0.0,-0.8504586260364992,-65.04927734915155,-66.739616089799,22.235110968110824
