period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades
Full_History,730,-2.0,2.0,0.0,0.0,0
Full_History,730,-2.0,2.5,0.0,0.0,0
Full_History,730,-2.0,3.0,0.0,0.0,0
Full_History,730,-2.0,3.5,0.0,0.0,0
Full_History,1095,-1.0,1.5,1005.6202635094915,-66.739616089799,4
Full_History,1095,-1.0,2.0,1605.569453357154,-66.739616089799,3
Full_History,1095,-1.0,2.5,1792.1116152912082,-66.739616089799,3
Full_History,1095,-1.0,3.0,2121.5994518813955,-66.73961608979899,3
Full_History,1095,-1.0,3.5,2250.5753478171832,-66.739616089799,3
Full_History,1095,-1.2,1.5,1230.4290898699746,-61.81085049983791,4
Full_History,1095,-1.2,2.0,1952.3676079680577,-61.81085049983791,3
Full_History,1095,-1.2,2.5,2176.8399036697638,-61.81085049983791,3
Full_History,1095,-1.2,3.0,2573.3234134477543,-61.81085049983791,3
Full_History,1095,-1.2,3.5,2728.5243350556298,-61.81085049983791,3
Full_History,1095,-1.5,1.5,235.25456846188527,-35.36177532999875,2
Full_History,1095,-1.5,2.0,378.18268672849786,-35.36177532999875,1
Full_History,1095,-1.5,2.5,378.18268672849786,-35.36177532999875,1
Full_History,1095,-1.5,3.0,378.18268672849786,-35.36177532999875,1
Full_History,1095,-1.5,3.5,378.18268672849786,-35.36177532999875,1
Full_History,1095,-1.8,1.5,0.0,0.0,0
Full_History,1095,-1.8,2.0,0.0,0.0,0
Full_History,1095,-1.8,2.5,0.0,0.0,0
Full_History,1095,-1.8,3.0,0.0,0.0,0
Full_History,1095,-1.8,3.5,0.0,0.0,0
Full_History,1095,-2.0,1.5,0.0,0.0,0
Full_History,1095,-2.0,2.0,0.0,0.0,0
Full_History,1095,-2.0,2.5,0.0,0.0,0
Full_History,1095,-2.0,3.0,0.0,0.0,0
Full_History,1095,-2.0,3.5,0.0,0.0,0
Full_History,1460,-1.0,1.5,2253.708350822531,-41.01000797228179,3
Full_History,1460,-1.0,2.0,2597.827045453927,-41.01000797228179,3
Full_History,1460,-1.0,2.5,1860.685544274587,-76.63456370856908,1
Full_History,1460,-1.0,3.0,1860.685544274587,-76.63456370856908,1
Full_History,1460,-1.0,3.5,1860.685544274587,-76.63456370856908,1
Full_History,1460,-1.2,1.5,378.18268672849786,-35.36177532999875,1
Full_History,1460,-1.2,2.0,378.18268672849786,-35.36177532999875,1
Full_History,1460,-1.2,2.5,378.18268672849786,-35.36177532999875,1
Full_History,1460,-1.2,3.0,378.18268672849786,-35.36177532999875,1
Full_History,1460,-1.2,3.5,378.18268672849786,-35.36177532999875,1
Full_History,1460,-1.5,1.5,0.0,0.0,0
Full_History,1460,-1.5,2.0,0.0,0.0,0
Full_History,1460,-1.5,2.5,0.0,0.0,0
Full_History,1460,-1.5,3.0,0.0,0.0,0
Full_History,1460,-1.5,3.5,0.0,0.0,0
Full_History,1460,-1.8,1.5,0.0,0.0,0
Full_History,1460,-1.8,2.0,0.0,0.0,0
Full_History,1460,-1.8,2.5,0.0,0.0,0
Full_History,1460,-1.8,3.0,0.0,0.0,0
Full_History,1460,-1.8,3.5,0.0,0.0,0
Full_History,1460,-2.0,1.5,0.0,0.0,0
Full_History,1460,-2.0,2.0,0.0,0.0,0
Full_History,1460,-2.0,2.5,0.0,0.0,0
Full_History,1460,-2.0,3.0,0.0,0.0,0
Full_History,1460,-2.0,3.5,0.0,0.0,0
